,direction,leftFitAverage,rightFitAverage,leftLine,rigthLine,time(s),leftX1,leftY1,leftX2,leftY2,rightX1,rightY1,rightX2,rightX2
0,C,[-9.99348322e-02  2.44018035e+02],[  0.17358337 129.45608366],[-2361   480  -440   288],[2019  480  913  288],2.576070547103882,-2361,480,-440,288,2019,480,913,288
1,C,[-2.39062708e-16  2.25000000e+02],[  0.16828776 127.69554545],"[-1066665739599880960                  480  -263529182724676672
                  288]",[2093  480  952  288],3.200923204421997,-1066665739599880960,480,-263529182724676672,288,2093,480,952,288
2,C,[-1.02623457e-01  2.52966049e+02],[  0.15643974 129.93190344],[-2212   480  -341   288],[2237  480 1010  288],3.3028690814971924,-2212,480,-341,288,2237,480,1010,288
3,C,[-7.24637681e-02  2.29304348e+02],[1.32281529e-01 1.46740316e+02],[-3459   480  -809   288],[2519  480 1067  288],3.3896281719207764,-3459,480,-809,288,2519,480,1067,288
4,C,[-1.41304348e-01  2.67913043e+02],[  0.14260658 142.0406528 ],[-1500   480  -142   288],[2369  480 1023  288],3.4760375022888184,-1500,480,-142,288,2369,480,1023,288
5,C,[-8.40673947e-02  2.43869516e+02],[  0.15779646 134.63198244],[-2808   480  -524   288],[2188  480  971  288],3.5662033557891846,-2808,480,-524,288,2188,480,971,288
6,C,[-5.99318603e-02  2.26950807e+02],[1.28569396e-01 1.48910949e+02],[-4222   480 -1018   288],[2575  480 1081  288],3.6541965007781982,-4222,480,-1018,288,2575,480,1081,288
7,C,[-1.17729831e-01  2.54662289e+02],[  0.15490434 134.67646528],[-1914   480  -283   288],[2229  480  989  288],3.746037721633911,-1914,480,-283,288,2229,480,989,288
8,C,[-8.23708588e-02  2.39474018e+02],[  0.16438303 127.31415899],[-2920   480  -589   288],[2145  480  977  288],3.836493730545044,-2920,480,-589,288,2145,480,977,288
9,C,[-3.50877193e-02  2.18421053e+02],[  0.17706116 123.63215771],[-7454   480 -1982   288],[2012  480  928  288],3.923969030380249,-7454,480,-1982,288,2012,480,928,288
10,C,[-5.07204158e-02  2.21036321e+02],[1.41523665e-01 1.42791671e+02],[-5105   480 -1320   288],[2382  480 1026  288],4.014682292938232,-5105,480,-1320,288,2382,480,1026,288
11,C,[-1.01117593e-01  2.46751553e+02],[1.26614979e-01 1.51237176e+02],[-2306   480  -407   288],[2596  480 1080  288],4.105611801147461,-2306,480,-407,288,2596,480,1080,288
12,C,[-7.59468852e-02  2.37189512e+02],[ 0.22229555 99.22894569],[-3197   480  -669   288],[1712  480  849  288],4.194457292556763,-3197,480,-669,288,1712,480,849,288
13,C,[-7.9810049e-02  2.3515671e+02],[1.20824797e-01 1.52251063e+02],[-3067   480  -662   288],[2712  480 1123  288],4.280347585678101,-3067,480,-662,288,2712,480,1123,288
14,C,[-9.47197354e-02  2.45613875e+02],[  0.17907882 122.94076519],[-2474   480  -447   288],[1993  480  921  288],4.370212078094482,-2474,480,-447,288,1993,480,921,288
15,C,[-6.70296431e-02  2.32694011e+02],[  0.1721042  125.77819933],[-3689   480  -825   288],[2058  480  942  288],4.46082878112793,-3689,480,-825,288,2058,480,942,288
16,C,[-5.41167734e-02  2.17116959e+02],[  0.15419145 139.71513752],[-4857   480 -1309   288],[2206  480  961  288],4.549010515213013,-4857,480,-1309,288,2206,480,961,288
17,C,[-4.25284558e-02  2.25293099e+02],[  0.14592028 138.07942761],[-5989   480 -1474   288],[2343  480 1027  288],4.637592315673828,-5989,480,-1474,288,2343,480,1027,288
18,C,[-4.80435039e-02  2.17115116e+02],[  0.17357508 131.75201615],[-5471   480 -1475   288],[2006  480  900  288],4.726776123046875,-5471,480,-1475,288,2006,480,900,288
19,C,[-1.07979080e-01  2.48901218e+02],[1.33069344e-01 1.46413416e+02],[-2140   480  -362   288],[2506  480 1064  288],4.819721937179565,-2140,480,-362,288,2506,480,1064,288
20,C,[-9.92202242e-02  2.49052822e+02],[  0.17585602 124.05689385],[-2327   480  -392   288],[2024  480  932  288],4.914502382278442,-2327,480,-392,288,2024,480,932,288
21,C,[-4.68475968e-02  2.30861194e+02],[  0.17331551 127.78026139],[-5318   480 -1219   288],[2032  480  924  288],5.005240440368652,-5318,480,-1219,288,2032,480,924,288
22,C,[-1.09322034e-01  2.49980508e+02],[  0.1938515  113.90314615],[-2104   480  -347   288],[1888  480  898  288],5.095807313919067,-2104,480,-347,288,1888,480,898,288
23,C,[-1.13110215e-01  2.54270929e+02],[  0.1679212  127.25760484],[-1995   480  -298   288],[2100  480  957  288],5.1931633949279785,-1995,480,-298,288,2100,480,957,288
24,C,[-6.77922819e-02  2.25757449e+02],[  0.17943015 120.80815774],[-3750   480  -918   288],[2001  480  931  288],5.2847206592559814,-3750,480,-918,288,2001,480,931,288
25,C,[-1.31833658e-01  2.61693966e+02],[1.34592081e-01 1.46084109e+02],[-1655   480  -199   288],[2480  480 1054  288],5.372156143188477,-1655,480,-199,288,2480,480,1054,288
26,C,[-1.27557158e-01  2.62651410e+02],[  0.15537417 131.72157891],[-1703   480  -198   288],[2241  480 1005  288],5.465936183929443,-1703,480,-198,288,2241,480,1005,288
27,C,[-1.14141414e-01  2.51733333e+02],[  0.14104602 139.95318467],[-1999   480  -317   288],[2410  480 1049  288],5.560769081115723,-1999,480,-317,288,2410,480,1049,288
28,C,[-1.45681622e-01  2.70008104e+02],[1.30784302e-01 1.44234216e+02],[-1441   480  -123   288],[2567  480 1099  288],5.655677080154419,-1441,480,-123,288,2567,480,1099,288
29,C,[-1.11462116e-01  2.49439553e+02],[  0.19748816 111.3070727 ],[-2068   480  -345   288],[1866  480  894  288],5.749325752258301,-2068,480,-345,288,1866,480,894,288
30,C,[-8.92284150e-02  2.39154924e+02],[1.03133194e-01 1.59454410e+02],[-2699   480  -547   288],[3108  480 1246  288],5.841034650802612,-2699,480,-547,288,3108,480,1246,288
31,C,[-7.78450014e-02  2.37427600e+02],[1.33600928e-01 1.46577564e+02],[-3116   480  -649   288],[2495  480 1058  288],5.929060697555542,-3116,480,-649,288,2495,480,1058,288
32,C,[-9.81226510e-02  2.47397835e+02],[  0.17692852 123.34170893],[-2370   480  -413   288],[2015  480  930  288],6.015929460525513,-2370,480,-413,288,2015,480,930,288
33,C,[-6.06386611e-02  2.27322037e+02],[  0.17974344 119.39839533],[-4166   480 -1000   288],[2006  480  938  288],6.103456020355225,-4166,480,-1000,288,2006,480,938,288
34,C,[-1.29657061e-01  2.61215571e+02],[1.25654250e-01 1.51584846e+02],[-1687   480  -206   288],[2613  480 1085  288],6.192644357681274,-1687,480,-206,288,2613,480,1085,288
35,C,[-7.0888062e-02  2.2968956e+02],[1.41804202e-01 1.44558312e+02],[-3531   480  -822   288],[2365  480 1011  288],6.279634237289429,-3531,480,-822,288,2365,480,1011,288
